2018-12-25 19:58:17 startup archives install
2018-12-25 19:58:17 install base-passwd:amd64 <none> 3.5.43
2018-12-25 19:58:17 status half-installed base-passwd:amd64 3.5.43
2018-12-25 19:58:17 status unpacked base-passwd:amd64 3.5.43
2018-12-25 19:58:17 status unpacked base-passwd:amd64 3.5.43
2018-12-25 19:58:17 configure base-passwd:amd64 3.5.43 3.5.43
2018-12-25 19:58:17 status unpacked base-passwd:amd64 3.5.43
2018-12-25 19:58:17 status half-configured base-passwd:amd64 3.5.43
2018-12-25 19:58:17 status installed base-passwd:amd64 3.5.43
2018-12-25 19:58:18 startup archives install
2018-12-25 19:58:18 install base-files:amd64 <none> 9.9+deb9u6
2018-12-25 19:58:18 status half-installed base-files:amd64 9.9+deb9u6
2018-12-25 19:58:18 status unpacked base-files:amd64 9.9+deb9u6
2018-12-25 19:58:18 status unpacked base-files:amd64 9.9+deb9u6
2018-12-25 19:58:18 configure base-files:amd64 9.9+deb9u6 9.9+deb9u6
2018-12-25 19:58:18 status unpacked base-files:amd64 9.9+deb9u6
2018-12-25 19:58:18 status unpacked base-files:amd64 9.9+deb9u6
2018-12-25 19:58:18 status unpacked base-files:amd64 9.9+deb9u6
2018-12-25 19:58:18 status unpacked base-files:amd64 9.9+deb9u6
2018-12-25 19:58:18 status unpacked base-files:amd64 9.9+deb9u6
2018-12-25 19:58:18 status unpacked base-files:amd64 9.9+deb9u6
2018-12-25 19:58:18 status unpacked base-files:amd64 9.9+deb9u6
2018-12-25 19:58:18 status half-configured base-files:amd64 9.9+deb9u6
2018-12-25 19:58:18 status installed base-files:amd64 9.9+deb9u6
2018-12-25 19:58:18 startup archives install
2018-12-25 19:58:18 upgrade dpkg 1.18.25 1.18.25
2018-12-25 19:58:18 status half-configured dpkg 1.18.25
2018-12-25 19:58:18 status unpacked dpkg 1.18.25
2018-12-25 19:58:18 status half-installed dpkg 1.18.25
2018-12-25 19:58:19 status half-installed dpkg 1.18.25
2018-12-25 19:58:20 status unpacked dpkg:amd64 1.18.25
2018-12-25 19:58:20 status unpacked dpkg:amd64 1.18.25
2018-12-25 19:58:20 configure dpkg:amd64 1.18.25 1.18.25
2018-12-25 19:58:20 status unpacked dpkg:amd64 1.18.25
2018-12-25 19:58:20 status unpacked dpkg:amd64 1.18.25
2018-12-25 19:58:20 status unpacked dpkg:amd64 1.18.25
2018-12-25 19:58:20 status unpacked dpkg:amd64 1.18.25
2018-12-25 19:58:20 status unpacked dpkg:amd64 1.18.25
2018-12-25 19:58:20 status half-configured dpkg:amd64 1.18.25
2018-12-25 19:58:20 status installed dpkg:amd64 1.18.25
2018-12-25 19:58:20 startup archives install
2018-12-25 19:58:20 install libc6:amd64 <none> 2.24-11+deb9u3
2018-12-25 19:58:20 status half-installed libc6:amd64 2.24-11+deb9u3
2018-12-25 19:58:22 status unpacked libc6:amd64 2.24-11+deb9u3
2018-12-25 19:58:22 status unpacked libc6:amd64 2.24-11+deb9u3
2018-12-25 19:58:22 configure libc6:amd64 2.24-11+deb9u3 2.24-11+deb9u3
2018-12-25 19:58:22 status unpacked libc6:amd64 2.24-11+deb9u3
2018-12-25 19:58:23 status unpacked libc6:amd64 2.24-11+deb9u3
2018-12-25 19:58:23 status half-configured libc6:amd64 2.24-11+deb9u3
2018-12-25 19:58:23 status installed libc6:amd64 2.24-11+deb9u3
2018-12-25 19:58:23 startup archives install
